what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288813320875
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1288813328957
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288813350338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288814017397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288814023656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288817404911
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288817408516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288817413162
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288817413363
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1288817415946
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1288817415946
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1288817415946
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1288817415946
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1288817415956
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1288817415956
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1288817415956
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1288817415956
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1288817415956
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1288817415956
stopped,bundle,com.python.pydev.codecompletion,1.6.3.2010100513,"com.python.pydev.codecompletion",1288817415956
