what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1290555515622
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1290555515622
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1290555515622
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1290555515622
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1290555515622
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1290555515622
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1290555515622
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1290555515622
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1290555515622
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1290555515622
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1290555515622
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1290555515622
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1290555515622
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1290555515622
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1290555515622
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1290555515622
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1290555515622
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1290555515622
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1290555515622
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1290555515622
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1290555515622
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1290555515622
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1290555515622
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1290555515622
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1290555515622
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1290555515622
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1290555515622
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1290555515622
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1290555515622
started,bundle,com.python.pydev,1.6.3.2010100513,"com.python.pydev",1290555515622
started,bundle,com.python.pydev.analysis,1.6.3.2010100513,"com.python.pydev.analysis",1290555515622
started,bundle,com.python.pydev.codecompletion,1.6.3.2010100513,"com.python.pydev.codecompletion",1290555515622
started,bundle,com.python.pydev.refactoring,1.6.3.2010100513,"com.python.pydev.refactoring",1290555515622
started,bundle,org.python.pydev,1.6.3.2010100513,"org.python.pydev",1290555515622
started,bundle,org.python.pydev.core,1.6.3.2010100513,"org.python.pydev.core",1290555515622
started,bundle,org.python.pydev.debug,1.6.3.2010100513,"org.python.pydev.debug",1290555515622
started,bundle,org.python.pydev.django,1.6.3.2010100513,"org.python.pydev.django",1290555515622
