what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290632208213
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632216345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632216856
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632217627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632218218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632219399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632219950
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1290632226760
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1290632278254
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1290632279656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1290632289210
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632289801
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632335526
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632338300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632360322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632363897
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632364969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632412327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632561081
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632565327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632565697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290632574830
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290651360535
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290651369858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290651371210
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290651371901
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1290651375206
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1290651375206
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1290651375206
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1290651375206
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1290651375206
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1290651375206
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1290651375206
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1290651375206
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1290651375206
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1290651375206
stopped,bundle,com.python.pydev.codecompletion,1.6.3.2010100513,"com.python.pydev.codecompletion",1290651375206
stopped,bundle,com.python.pydev.refactoring,1.6.3.2010100513,"com.python.pydev.refactoring",1290651375206
stopped,bundle,com.python.pydev.analysis,1.6.3.2010100513,"com.python.pydev.analysis",1290651375206
stopped,bundle,com.python.pydev.debug,1.6.3.2010100513,"com.python.pydev.debug",1290651375206
stopped,bundle,com.python.pydev.fastparser,1.6.3.2010100513,"com.python.pydev.fastparser",1290651375206
stopped,bundle,com.python.pydev,1.6.3.2010100513,"com.python.pydev",1290651375206
stopped,bundle,org.python.pydev.django,1.6.3.2010100513,"org.python.pydev.django",1290651375206
